X,Y,cluster,super_cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,stagate_seed_141,stagate_seed_549,stagate_seed_75,stagate_seed_492,stagate_seed_676,stagate_seed_179,stagate_seed_587,stagate_seed_592,stagate_seed_601,stagate_seed_916,stagate_seed_518,stagate_seed_339,stagate_seed_921,stagate_seed_423,stagate_seed_330,stagate_seed_388,stagate_seed_273,stagate_seed_286,stagate_seed_61,stagate_seed_807,stagate_seed_283,stagate_seed_127,stagate_seed_165,stagate_seed_952,stagate_seed_311,stagate_seed_597,stagate_seed_473,stagate_seed_594,stagate_seed_605,stagate_seed_101
537.743865677316,83.6366767108928,1,6,2.09131608884249,-0.279028459307676,5.326285457693,-2.61245208785532,-2.3464579156965,0.609746058622465,-2.19246073623185,-0.596738670420964,0.3309695886128,1.87245217355142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
557.017219099102,83.6366767108928,1,6,1.81763909205341,-0.329581776947271,2.58057979065782,-3.12328647943085,-1.21411958152579,-0.534199659975732,-0.343558941828884,0.213057355056583,0.147754871186434,-0.396622256065348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
576.290572520888,83.6366767108928,1,6,1.54703201948942,-0.814913260524639,1.28764151824626,-1.190134096348,-0.745058120928201,-0.61996238786846,-1.45039077181431,-0.243148801019278,0.486576463080464,0.611078727795865,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
595.563925942673,83.6366767108928,1,6,1.50426813977869,-0.307199225014461,2.13957202666828,-4.17466876792073,-1.03453947047199,0.0571172078205611,-1.11271312592257,-0.386375355823119,0.702291035203122,0.748370890595597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
846.117520425885,83.6366767108928,2,1,1.10282072517896,-0.570806518372639,1.94862860460203,-1.11174623239195,-3.23340866170488,-1.55210534071828,-1.84359649483972,1.25476911287032,2.43084749192238,2.53053080866324,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
865.39087384767,83.6366767108928,2,1,2.49227071198773,-1.70250728972474,3.7043975096434,1.11673038400802,-4.14236946524054,-2.49354674051546,-0.384485156061199,1.50139771052662,1.06307346095106,0.264138453129481,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
499.197158833745,102.910030132678,1,6,-0.331417229293637,-1.09799012066856,2.43848813145525,-3.24725742143459,-1.68330838764003,0.365782912632768,-2.02446635865184,0.976600806306552,0.628630158440191,2.50663325717248,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
518.470512255531,102.910030132678,1,6,-0.819835670089645,0.251478012908262,1.91089753616067,-1.96569488451412,-3.53072834747406,0.430290482080201,-1.9693465833945,0.0473968347007871,1.99442366581935,1.87675465987026,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
537.743865677316,102.910030132678,1,6,1.47971184105372,-0.0757239151075007,0.221730184960234,-2.27325001970827,-3.19111655875135,-2.64526513184953,-1.00024659946925,0.520247891588089,0.2511536049042,2.0353747245373,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
557.017219099102,102.910030132678,1,6,1.55586759432738,0.163289734461389,4.3229193907798,-3.78194568764831,-0.785127067934085,-2.66226278159486,-2.48690234179827,0.86260763607744,1.52636834729379,4.5125411945032,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
576.290572520888,102.910030132678,1,6,1.10158761994916,-0.3571715377008,1.59617865868298,-0.930737247812082,-0.191219527389086,-1.10467828206852,-3.3221630530564,-0.435066057197225,-0.0564147447941652,-0.226271474258793,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
595.563925942673,102.910030132678,1,6,-0.13494928275111,-1.34559487023001,1.38825501508078,-4.48467227234539,-1.12929455446453,-1.16235471825922,-1.19009036828857,0.197616087637255,0.490007274063692,0.893589587999318,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
614.837279364459,102.910030132678,3,4,4.77085818472012,-0.62905957386792,1.37320075210709,-5.15633300310912,-4.57775272651345,-1.80261431329732,-0.681537688848234,0.76883311716321,1.44962025889024,3.27220831883256,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
634.110632786244,102.910030132678,3,4,1.24399471624135,-0.031683892047123,1.25485315874266,-1.3117811925546,0.186363151206121,-1.78419510362987,-5.5920609050315,-0.0844901331721972,0.318639266190067,2.68717611072344,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
