,X_coord,Y_coord,ground_truth_cluster,initial_pred_seed_141,refined_pred_seed_141,initial_pred_seed_549,refined_pred_seed_549,initial_pred_seed_75,refined_pred_seed_75,initial_pred_seed_492,refined_pred_seed_492,initial_pred_seed_676,refined_pred_seed_676,initial_pred_seed_179,refined_pred_seed_179,initial_pred_seed_587,refined_pred_seed_587,initial_pred_seed_592,refined_pred_seed_592,initial_pred_seed_601,refined_pred_seed_601,initial_pred_seed_916,refined_pred_seed_916,initial_pred_seed_518,refined_pred_seed_518,initial_pred_seed_339,refined_pred_seed_339,initial_pred_seed_921,refined_pred_seed_921,initial_pred_seed_423,refined_pred_seed_423,initial_pred_seed_330,refined_pred_seed_330,initial_pred_seed_388,refined_pred_seed_388,initial_pred_seed_273,refined_pred_seed_273,initial_pred_seed_286,refined_pred_seed_286,initial_pred_seed_61,refined_pred_seed_61,initial_pred_seed_807,refined_pred_seed_807,initial_pred_seed_283,refined_pred_seed_283,initial_pred_seed_127,refined_pred_seed_127,initial_pred_seed_165,refined_pred_seed_165,initial_pred_seed_952,refined_pred_seed_952,initial_pred_seed_311,refined_pred_seed_311,initial_pred_seed_597,refined_pred_seed_597,initial_pred_seed_473,refined_pred_seed_473,initial_pred_seed_594,refined_pred_seed_594,initial_pred_seed_605,refined_pred_seed_605,initial_pred_seed_101,refined_pred_seed_101
0,537.743865677316,83.6366767108928,6,1,1,0,0,4,4,3,3,5,5,4,4,5,5,5,5,1,1,9,9,0,0,4,4,1,1,8,8,1,1,4,4,5,5,5,5,0,0,7,7,3,3,5,5,4,4,3,3,3,3,3,3,5,5,0,0,5,5,4,4
1,557.017219099102,83.6366767108928,6,1,1,7,7,4,4,9,9,5,5,4,4,5,5,5,5,1,1,9,9,0,0,4,4,1,1,8,8,5,5,4,4,5,5,5,5,0,0,7,7,3,3,5,5,4,4,3,3,3,3,3,3,5,5,0,0,5,5,4,4
2,576.290572520888,83.6366767108928,6,1,1,7,7,3,3,9,9,2,2,4,4,5,5,2,2,1,1,2,2,7,7,0,4,1,1,2,2,5,5,4,4,5,5,5,5,0,0,7,7,3,3,4,5,4,4,3,3,2,3,9,3,5,5,9,0,5,5,4,4
3,595.563925942673,83.6366767108928,6,1,1,7,7,4,4,3,3,5,5,4,4,5,5,5,5,1,1,9,9,0,0,4,4,1,1,8,8,5,5,4,4,5,5,5,5,0,0,7,7,3,3,5,5,4,4,3,3,3,3,3,3,5,5,0,0,5,5,4,4
4,846.117520425885,83.6366767108928,1,1,1,7,9,8,8,8,1,2,2,1,1,4,4,0,0,1,5,6,6,1,1,6,6,4,4,3,3,6,8,5,5,10,10,1,1,0,0,4,4,8,4,7,7,0,0,2,2,2,2,6,6,2,2,6,6,4,4,2,2
5,865.39087384767,83.6366767108928,1,2,2,9,9,8,8,1,1,2,2,1,1,8,8,0,0,5,5,6,6,9,9,2,2,2,2,1,1,8,8,8,8,4,4,2,2,2,2,7,7,4,4,6,6,8,8,5,5,1,1,6,6,4,4,5,6,2,2,2,2
6,499.197158833745,102.910030132678,6,1,1,0,0,4,4,3,3,5,5,4,4,5,5,5,5,7,7,9,9,7,0,0,0,5,5,8,8,5,5,4,4,6,6,5,5,0,0,7,7,3,3,4,4,5,4,3,3,3,3,3,3,8,8,0,0,5,5,5,5
7,518.470512255531,102.910030132678,6,1,1,0,0,4,4,3,3,5,5,4,4,5,5,5,5,1,1,9,9,0,0,0,0,3,3,8,8,1,1,4,4,6,6,5,5,0,0,7,7,3,3,4,4,4,4,3,3,3,3,3,3,8,8,0,0,5,5,4,4
8,537.743865677316,102.910030132678,6,9,1,5,0,0,0,3,3,9,5,4,4,1,5,6,5,5,5,7,9,2,0,4,4,1,1,8,8,1,1,9,4,7,7,0,5,3,3,7,7,8,8,4,4,4,4,11,3,2,3,1,1,5,5,1,1,1,5,4,4
9,557.017219099102,102.910030132678,6,5,5,0,0,0,0,6,6,1,1,2,4,9,5,5,5,5,5,3,3,0,0,8,8,4,4,3,8,4,4,1,1,5,5,7,7,3,3,4,7,8,8,0,0,8,4,0,0,4,4,4,4,0,0,1,1,8,8,5,5
10,576.290572520888,102.910030132678,6,1,1,7,7,3,3,3,3,2,2,4,4,5,5,2,2,1,1,2,2,7,7,6,6,7,7,2,2,5,5,4,4,5,5,0,5,0,0,7,7,3,3,5,5,4,4,3,3,3,3,1,1,4,5,0,0,3,5,4,4
11,595.563925942673,102.910030132678,6,1,1,7,7,4,4,3,3,5,5,4,4,5,5,5,5,1,1,9,9,0,0,4,4,1,1,8,8,5,5,4,4,7,7,5,5,0,0,7,7,3,3,5,5,4,4,3,3,3,3,3,3,5,5,0,0,5,5,4,4
12,614.837279364459,102.910030132678,4,9,9,7,7,7,7,7,7,4,4,7,7,1,1,8,8,8,8,4,4,0,0,9,9,3,3,8,8,8,8,2,2,8,8,6,6,1,3,3,3,9,8,3,3,4,4,11,11,0,0,1,1,3,3,2,2,1,1,3,0
13,634.110632786244,102.910030132678,4,4,4,5,5,5,5,10,10,9,9,6,2,9,9,9,9,2,2,0,0,2,2,3,3,0,0,1,1,0,0,3,3,5,5,0,0,3,3,1,1,8,8,5,5,3,3,8,8,8,8,5,5,4,4,8,8,1,1,0,0
14,807.570813582314,102.910030132678,4,4,4,3,3,3,3,4,4,4,4,2,2,7,7,8,8,4,4,7,7,2,2,9,9,0,0,0,0,8,8,7,7,3,3,4,4,5,5,1,1,9,9,0,0,6,6,0,0,0,0,1,1,1,1,1,2,0,0,1,1
15,826.844167004099,102.910030132678,4,0,0,3,3,3,3,5,5,1,1,2,2,7,7,8,8,4,4,0,0,2,2,9,9,0,0,0,0,8,8,7,7,3,3,8,8,5,5,1,1,9,9,0,0,6,6,0,0,0,0,5,5,1,1,2,2,0,0,1,1
16,846.117520425885,102.910030132678,1,8,8,9,9,8,8,1,1,1,1,1,1,4,4,0,0,5,5,0,0,1,1,6,6,4,4,1,1,3,3,1,1,9,9,3,3,8,8,4,4,4,4,7,7,0,0,2,2,0,0,4,4,0,0,6,6,8,8,2,2
17,865.39087384767,102.910030132678,1,2,2,9,9,8,8,1,1,2,2,1,1,8,8,0,0,5,5,6,6,9,9,2,2,2,2,0,0,8,8,8,8,2,4,2,2,2,2,7,7,4,4,6,6,8,8,5,5,1,1,6,6,4,4,6,6,2,2,2,2
