barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
0,537.743865677316,83.6366767108928,6,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
1,557.017219099102,83.6366767108928,6,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
2,576.290572520888,83.6366767108928,6,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
3,595.563925942673,83.6366767108928,6,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
4,846.117520425885,83.6366767108928,1,3,6,6,3,2,7,4,2,3,1,4,3,6,5,5,1,3,3,3,3,3,4,4,2,1,1,3,5,4,2
5,865.39087384767,83.6366767108928,1,3,6,6,3,2,7,6,2,3,1,4,3,6,5,7,1,3,3,3,3,3,4,5,2,3,1,3,5,4,2
6,499.197158833745,102.910030132678,6,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
7,518.470512255531,102.910030132678,6,1,4,1,2,3,2,1,1,1,2,3,1,2,1,2,2,1,2,5,2,4,1,1,1,2,2,2,1,2,5
8,537.743865677316,102.910030132678,6,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
9,557.017219099102,102.910030132678,6,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
10,576.290572520888,102.910030132678,6,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
11,595.563925942673,102.910030132678,6,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
12,614.837279364459,102.910030132678,4,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
13,634.110632786244,102.910030132678,4,1,2,1,2,1,2,1,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,5
14,807.570813582314,102.910030132678,4,3,6,6,3,2,5,4,2,3,1,1,3,6,5,5,1,4,3,3,3,3,4,4,2,1,1,5,5,4,6
15,826.844167004099,102.910030132678,4,3,1,6,4,2,5,4,4,3,1,1,3,6,5,5,1,4,1,1,3,3,4,4,2,1,1,5,5,4,6
